bucket,RLOP_IVRMSE_x1000_Whole,RLOP_IVRMSE_x1000_<1,RLOP_IVRMSE_x1000_>1,RLOP_IVRMSE_x1000_>1.03,days_used,N_total
30d,1891.8060573684106,1924.1056349012877,1876.6733755928767,1855.3000719847587,1,98
7d,4673.373871469665,4701.6102507474125,4654.248386356032,4590.3234631280675,1,77
90d,550.2317243323041,592.3202720305325,527.6803498682078,523.682328148853,1,137
