Metric,Asset,BS,JD,SV,QLBS,RLOP
avg_cost,SPY (τ=14d),2.546788,2.736635,3.594259,2.400705,2.517821
avg_cost,SPY (τ=28d),2.432366,2.667824,3.802641,2.329673,1.773045
avg_cost,SPY (τ=56d),2.323246,2.621764,3.87484,2.234168,1.742393
