date,symbol,expiration,tau,bucket,strike,C_mid,sigma_mkt_b76,F,DF,r,moneyness_F,price_BS,price_JD,price_SV
2020-01-08,XOP,2020-02-21,0.12054794520547946,56d,26.0,0.2299999999999999,0.293858550153114,23.59404338461349,0.9981332513959152,0.015499999999999561,1.1019730521032916,0.2568556816298555,0.22886027396985736,0.22986869579920396
2020-01-08,XOP,2020-02-21,0.12054794520547946,56d,27.0,0.11,0.2927261683695018,23.59404338461349,0.9981332513959152,0.015499999999999561,1.1443566310303412,0.1299202323974683,0.1063956574188389,0.1102121315671852
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,19.5,3.7315890185391134,0.156346875,23.23380818449164,0.9994056561443784,0.015499999999997694,0.8392941804958206,3.7316987928147753,3.7342957927593243,3.7322890045217463
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,21.0,2.255,0.29991348796337847,23.23380818449164,0.9994056561443784,0.015499999999997694,0.9038552713031914,2.2438690042982055,2.2519258859375952,2.249655466780108
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,21.5,1.775,0.27798146624490616,23.23380818449164,0.9994056561443784,0.015499999999997694,0.9253756349056483,1.7676547638445752,1.7749511846640609,1.774886194027866
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,22.5,0.925,0.2633285720635206,23.23380818449164,0.9994056561443784,0.015499999999997694,0.9684163621105623,0.9286707880308087,0.928940317449432,0.9299897526828131
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,23.0,0.605,0.26546208696533,23.23380818449164,0.9994056561443784,0.015499999999997694,0.9899367257130192,0.6056341292312519,0.6027224188745177,0.6021616244766475
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,23.5,0.36,0.26384925478789956,23.23380818449164,0.9994056561443784,0.015499999999997694,1.0114570893154762,0.36350929787015646,0.36000007274097473,0.3594447381041622
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,24.0,0.2,0.26616335883829745,23.23380818449164,0.9994056561443784,0.015499999999997694,1.032977452917933,0.1994790085705602,0.198066617230153,0.19921846600229376
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,25.0,0.05,0.27248399766497317,23.23380818449164,0.9994056561443784,0.015499999999997694,1.076018180122847,0.04522872587964397,0.05046377209523874,0.05135076855079913
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,25.5,0.02,0.2692872968629002,23.23380818449164,0.9994056561443784,0.015499999999997694,1.0975385437253038,0.0186395634017137,0.025825569065798873,0.024628153903727502
2020-01-10,XOP,2020-01-24,0.038356164383561646,14d,26.5,0.015,0.3401208595782518,23.23380818449164,0.9994056561443784,0.015499999999997694,1.1405792709302178,0.0023811306963414597,0.00986030980427355,0.005101044798699575
2020-01-10,XOP,2020-02-07,0.07671232876712329,28d,19.5,3.75,0.2809833568871022,23.247625267727305,0.9988116655333752,0.01550000000000122,0.838795351156584,3.7512911442184276,3.7523888694164986,3.763157109988336
2020-01-10,XOP,2020-02-07,0.07671232876712329,28d,21.0,2.349954337153608,0.30605988913439214,23.247625267727305,0.9988116655333752,0.01550000000000122,0.9033180704763213,2.329057713121111,2.3557706423986384,2.353906358402452
2020-01-10,XOP,2020-02-07,0.07671232876712329,28d,21.5,1.93054850438692,0.30761300610266623,23.247625267727305,0.9988116655333752,0.01550000000000122,0.9248256435829003,1.8991235150777526,1.926230476456316,1.9234864984152258
2020-01-10,XOP,2020-02-07,0.07671232876712329,28d,22.5,1.175,0.2943002955548466,23.247625267727305,0.9988116655333752,0.01550000000000122,0.9678407897960585,1.1594974465968217,1.1710075075464055,1.1704505106816998
2020-01-10,XOP,2020-02-07,0.07671232876712329,28d,23.0,0.865,0.287974962956272,23.247625267727305,0.9988116655333752,0.01550000000000122,0.9893483629026376,0.8641191883400426,0.8641986420166893,0.864818820404486
2020-01-10,XOP,2020-02-07,0.07671232876712329,28d,23.5,0.61,0.2827185810294002,23.247625267727305,0.9988116655333752,0.01550000000000122,1.0108559360092166,0.622532622342875,0.6130293056250258,0.614134849557028
2020-01-10,XOP,2020-02-07,0.07671232876712329,28d,24.0,0.415,0.28009929798822863,23.247625267727305,0.9988116655333752,0.01550000000000122,1.0323635091157957,0.43306217472992564,0.4180081629874034,0.41899950036693273
2020-01-10,XOP,2020-02-07,0.07671232876712329,28d,25.0,0.1797076750201063,0.2827055427741259,23.247625267727305,0.9988116655333752,0.01550000000000122,1.075378655328954,0.1882748754795565,0.17463790939867463,0.17451767066287083
