date,act_symbol,expiration,strike,bid,ask,vol,delta,gamma,theta,vega,rho,mid,tau_days,tau_years,S,r,DF,PV_div,F,n_pairs_atm,alpha_hat,alpha_used,C_eur,moneyness_F,lower_bound,upper_bound,upper_from_put,C_eur_pre,P_A
2025-01-02,SPY,2025-01-17,470.0,115.83,116.27,0.5058,0.9852,0.0005,-0.091,0.0419,0.1893,116.05,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,110.54580165028476,0.8094925865463493,110.41080165028475,110.54580165028476,110.54580165028476,116.05,0.135
2025-01-02,SPY,2025-01-17,480.0,105.87,106.31,0.4682,0.9832,0.0007,-0.0949,0.047,0.193,106.09,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,100.59386750363191,0.826715833068612,100.4288675036319,100.59386750363191,100.59386750363191,106.09,0.165
2025-01-02,SPY,2025-01-17,495.0,90.94,91.37,0.412,0.9794,0.0009,-0.1008,0.0565,0.1982,91.155,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,85.65096628365262,0.8525507028520061,85.45596628365263,85.65096628365262,85.65096628365262,91.155,0.195
2025-01-02,SPY,2025-01-17,510.0,76.02,76.44,0.3561,0.974,0.0013,-0.1071,0.0693,0.203,76.22999999999999,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,70.72806506367336,0.8783855726354003,70.48306506367335,70.72806506367336,70.72806506367336,76.22999999999999,0.245
2025-01-02,SPY,2025-01-17,525.0,61.19,61.36,0.2946,0.9682,0.0019,-0.1074,0.0825,0.2078,61.275,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,55.83016384369407,0.9042204424187944,55.51016384369407,55.83016384369407,55.83016384369407,61.275,0.32
2025-01-02,SPY,2025-01-17,540.0,46.37,46.54,0.2448,0.9517,0.0033,-0.1231,0.1171,0.2099,46.455,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,41.007262623714794,0.9300553122021885,40.537262623714795,41.007262623714794,41.007262623714794,46.455,0.47
2025-01-02,SPY,2025-01-17,550.0,36.65,36.8,0.2167,0.9274,0.0053,-0.145,0.1621,0.208,36.724999999999994,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,31.270328477061945,0.9472785587244512,30.555328477061945,31.270328477061945,31.270328477061945,36.724999999999994,0.715
2025-01-02,SPY,2025-01-17,561.0,26.3,26.45,0.1915,0.8721,0.0091,-0.1848,0.2469,0.199,26.375,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,20.93020091574381,0.9662241298989402,19.57520091574381,20.93020091574381,20.93020091574381,26.375,1.355
2025-01-02,SPY,2025-01-17,573.0,16.03,16.14,0.1713,0.7451,0.0157,-0.241,0.3801,0.1726,16.085,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,10.656879939760387,0.9868920257256556,7.596879939760387,10.656879939760387,10.656879939760387,16.085,3.06
2025-01-02,SPY,2025-01-17,585.0,7.67,7.72,0.1525,0.5267,0.0219,-0.2572,0.4719,0.1235,7.695,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,2.3535589637769654,1.007559921552371,0.0,2.3535589637769654,2.3535589637769654,7.695,6.734999999999999
2025-01-02,SPY,2025-01-17,596.0,2.59,2.63,0.1344,0.2707,0.0207,-0.1851,0.3928,0.064,2.61,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,2.61,1.02650549272686,0.0,2.61,-2.476568597541169,2.61,12.885000000000002
2025-01-02,SPY,2025-01-17,608.0,0.41,0.42,0.1205,0.0667,0.009,-0.0639,0.1536,0.0159,0.415,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,0.415,1.0471733885535752,0.0,0.415,-3.9698895735245934,0.415,23.369999999999997
2025-01-02,SPY,2025-01-17,620.0,0.05,0.06,0.1214,0.0112,0.002,-0.0145,0.0349,0.0026,0.055,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,0.055,1.0678412843802905,0.0,0.055,-4.143210549508012,0.055,35.175
2025-01-02,SPY,2025-01-17,630.0,0.02,0.03,0.1376,0.0048,0.0008,-0.0078,0.0168,0.0011,0.025,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,0.025,1.0850645309025533,0.0,0.025,-4.125144696160866,0.025,45.175
2025-01-02,SPY,2025-01-17,645.0,0.01,0.02,0.1728,0.0032,0.0004,-0.0068,0.0116,0.0007,0.015,15,0.0410958904109589,579.5617065429688,0.044000000000000004,0.9981934146652851,0.0,580.6106291908445,3.0,0.0,0.0,0.015,1.1108994006859474,0.0,0.015,-4.098045916140137,0.015,60.175
