date,symbol,expiration,tau,bucket,strike,C_mid,sigma_mkt_b76,F,DF,r,moneyness_F,price_BS,price_JD,price_SV
2020-02-28,SPY,2020-04-17,0.13424657534246576,56d,326.0,1.049782107643388,0.20550129295792433,295.48931716545684,0.9978543599780588,0.015999999999999258,1.1032547745794103,3.667073234156878,1.0992029732765134,0.9911829830715827
2020-02-28,SPY,2020-04-17,0.13424657534246576,56d,341.0,0.265,0.20592470098491764,295.48931716545684,0.9978543599780588,0.015999999999999258,1.1540180310784631,1.7133089658252982,0.14266431351614195,0.10988989857415682
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,265.0,44.25156076542879,0.07822343749999999,309.2785563866168,0.9993903229149502,0.015899999999998995,0.8568327629825524,44.25548057742345,44.334085514779545,44.32681383275552
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,278.0,31.25948656753444,0.07822343749999999,309.2785563866168,0.9993903229149502,0.015899999999998995,0.8988660683364135,31.345590060605204,31.625067019578594,31.587916208200056
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,287.0,22.79,0.2658671296784654,309.2785563866168,0.9993903229149502,0.015899999999998995,0.9279660489660095,22.704376806335436,23.197268878952254,23.11530835384475
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,297.0,14.67,0.28979603469651194,309.2785563866168,0.9993903229149502,0.015899999999998995,0.9602993607766719,14.05514376596527,14.568460199132257,14.541871768840284
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,303.0,10.29,0.27989325630273676,309.2785563866168,0.9993903229149502,0.015899999999998995,0.9796993478630693,9.741153167843938,10.021602643647451,10.067862964185117
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,309.0,6.455,0.26163282589558523,309.2785563866168,0.9993903229149502,0.015899999999998995,0.9990993349494668,6.297163414967354,6.234849661587526,6.318912412840548
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,315.0,3.395,0.23848681222852322,309.2785563866168,0.9993903229149502,0.015899999999998995,1.0184993220358642,3.771459111867717,3.4262815172025425,3.481350551330009
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,321.0,1.36,0.21425555007066574,309.2785563866168,0.9993903229149502,0.015899999999998995,1.0378993091222617,2.0824675722821553,1.6313101448718403,1.5613957356585815
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,331.0,0.215,0.20066290818210689,309.2785563866168,0.9993903229149502,0.015899999999998995,1.070232620932924,0.6410740164490852,0.3327022059854818,0.1563634748991265
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,340.0,0.06,0.21601600323691972,309.2785563866168,0.9993903229149502,0.015899999999998995,1.09933260156252,0.1809772085306285,0.05347045644216331,0.00911080867241472
2020-03-02,SPY,2020-03-16,0.038356164383561646,14d,355.0,0.01,0.24634678472504018,309.2785563866168,0.9993903229149502,0.015899999999998995,1.1478325692785136,0.014397737575125358,0.0010985930424547365,-0.003059763627602334
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,265.0,43.31,0.2955884658629075,308.0606188560814,0.9987810175360484,0.01589999999999981,0.8602203065877813,43.0872364686021,43.60410029219227,43.732328683944
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,278.0,31.56,0.317285016691126,308.0606188560814,0.9987810175360484,0.01589999999999981,0.9024197933260498,30.54672847301342,31.534701423035994,31.69405853163292
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,287.0,23.82,0.3036549550099299,308.0606188560814,0.9987810175360484,0.01589999999999981,0.9316348226063895,22.50167484104179,23.777449092384114,23.75107915864809
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,297.0,15.95,0.28204147649388767,308.0606188560814,0.9987810175360484,0.01589999999999981,0.9640959662512115,14.743156737105291,15.925094143370837,15.798914505120175
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,303.0,11.615,0.26280714429598306,308.0606188560814,0.9987810175360484,0.01589999999999981,0.9835726524381047,10.897935011898024,11.611501844778887,11.452139998438435
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,309.0,7.725,0.24044640611801302,308.0606188560814,0.9987810175360484,0.01589999999999981,1.003049338624998,7.741019050325914,7.702676546315546,7.706687491975514
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,315.0,4.475,0.216208326815255,308.0606188560814,0.9987810175360484,0.01589999999999981,1.022526024811891,5.27293169380526,4.460584552066333,4.587480771673279
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,321.0,2.12,0.1926989555997774,308.0606188560814,0.9987810175360484,0.01589999999999981,1.0420027109987842,3.4394267702806705,2.163279154463108,2.188772123027063
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,331.0,0.41,0.16952748008277266,308.0606188560814,0.9987810175360484,0.01589999999999981,1.074463854643606,1.5293548687258947,0.4000258620055285,0.38985445533773544
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,340.0,0.125,0.17589231859482823,308.0606188560814,0.9987810175360484,0.01589999999999981,1.1036788839239458,0.663635657375518,0.04921577030920839,0.05455388990890503
2020-03-02,SPY,2020-03-30,0.07671232876712329,28d,355.0,0.025,0.19581966199968012,308.0606188560814,0.9987810175360484,0.01589999999999981,1.1523705993911788,0.13280772208058003,0.00042497314305849277,0.03728270713763506
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,263.0,45.84,0.27735046125482776,308.3022668682132,0.9979981707218027,0.015899999999999918,0.8530589238658498,45.43819741393448,46.145212641075645,46.39841763100171
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,278.0,32.730000000000004,0.2903157954299823,308.3022668682132,0.9979981707218027,0.015899999999999918,0.9017124746566777,31.404069371730312,32.76081683748864,32.81658720167337
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,287.0,25.375,0.2813908303035423,308.3022668682132,0.9979981707218027,0.015899999999999918,0.9309046051311745,23.795686396486744,25.341243798866252,25.255113814480804
