,risk_lambda,network_depth,replica,price_error,vol_error,time_used
0,0.01,2,0,0.055903795465404034,0.46087372685817934,62.091357946395874
1,0.01,2,1,0.06124914575779366,0.5034469899439358,49.241929054260254
2,0.01,2,2,0.06477685499768078,0.5110300286605262,47.64195966720581
3,0.01,2,3,0.04879054491752743,0.40188761492634656,51.766390800476074
4,0.01,2,4,0.07694549149086093,0.632531705814887,48.28351283073425
5,0.01,2,5,0.049405598498629924,0.4060668343690629,47.7128529548645
6,0.01,2,6,0.029417163342640527,0.24880707101820573,49.599679470062256
7,0.01,2,7,0.06673991971421053,0.5443245992056992,49.39659357070923
8,0.01,2,8,0.05537533805592908,0.4549158565639536,52.319380044937134
9,0.01,2,9,0.05158877512349329,0.425062714342252,48.47921347618103
10,0.01,3,0,0.0734720455994255,0.6092515953808268,48.74915361404419
11,0.01,3,1,0.07174295323812097,0.5852155190415368,52.37092399597168
12,0.01,3,2,0.054051570637060946,0.4441937107353631,50.654234647750854
13,0.01,3,3,0.04389088164739781,0.3622190061575561,51.38153624534607
14,0.01,3,4,0.05466335935805558,0.44830157217463096,57.79156422615051
15,0.01,3,5,0.0630117007131145,0.5055427230841265,53.131784200668335
16,0.01,3,6,0.05398621468921894,0.44339257592268805,53.68142747879028
17,0.01,3,7,0.06237599764516666,0.519123728233123,52.13052725791931
18,0.01,3,8,0.030611265962254074,0.256695039815665,49.26020169258118
19,0.01,3,9,0.036449080888803345,0.3078375160879063,51.85971784591675
20,0.01,4,0,0.05103261745550192,0.41776647683951607,52.125022411346436
21,0.01,4,1,0.03368710199969683,0.2830964744006108,52.274815797805786
22,0.01,4,2,0.08432027394091848,0.6835128333084526,51.49118638038635
23,0.01,4,3,0.03442130789335696,0.28819847556231915,52.901565074920654
24,0.01,4,4,0.07569873424787985,0.6223504290041544,54.042208671569824
25,0.01,4,5,0.05279469355350179,0.4332047618049369,51.269065380096436
26,0.01,4,6,0.06093250330422575,0.5065878971393897,51.33148670196533
27,0.01,4,7,0.07527744260350361,0.6210711279909416,51.893210887908936
28,0.01,4,8,0.044263945365219624,0.3674629530862705,50.5015754699707
29,0.01,4,9,0.04687385071129319,0.3954713127027594,49.46592879295349
30,0.1,2,0,0.05654619732630845,0.4550904104806255,49.152771949768066
31,0.1,2,1,0.04491837972467514,0.3533286304137085,48.86380577087402
32,0.1,2,2,0.025622153105604697,0.21732195569557564,47.99724841117859
33,0.1,2,3,0.044112957441620235,0.3717055919583809,48.57722234725952
34,0.1,2,4,0.05423239994345431,0.4439679273772272,49.76380896568298
35,0.1,2,5,0.04319408684188007,0.35696604118426384,50.19688081741333
36,0.1,2,6,0.035995642998987464,0.30128065679961785,48.37632441520691
37,0.1,2,7,0.054601671142512756,0.44395142737304166,51.63717031478882
38,0.1,2,8,0.04625522904470786,0.3882356186950863,49.836631298065186
39,0.1,2,9,0.07840313104193922,0.6463056759151041,49.9914710521698
40,0.1,3,0,0.0501294466225474,0.42128945924842925,47.890058517456055
41,0.1,3,1,0.02708706475327342,0.23091067780981323,47.91221618652344
42,0.1,3,2,0.07386112888584984,0.6098605203643169,49.63779306411743
43,0.1,3,3,0.057730264509902145,0.47636875623047303,50.23024249076843
44,0.1,3,4,0.03760702797888434,0.3190189336805762,52.760338306427
45,0.1,3,5,0.07592975781073787,0.6146945525921479,49.032952547073364
46,0.1,3,6,0.05808463463368222,0.48049085603517605,51.97221541404724
47,0.1,3,7,0.0540503728126291,0.4410931267780766,62.07814955711365
48,0.1,3,8,0.09001933976564884,0.7249324078852251,53.360472679138184
49,0.1,3,9,0.06718318756855597,0.5472166098718905,60.53287744522095
50,0.1,4,0,0.03960617563865966,0.33102607893556135,52.56170868873596
51,0.1,4,1,0.09060863110046374,0.7361309127195305,52.839194774627686
52,0.1,4,2,0.05388933621085876,0.4432728307452357,52.46399807929993
53,0.1,4,3,0.06183224615885429,0.5113257001038899,53.53826093673706
54,0.1,4,4,0.0760987298133113,0.6217770135429088,52.4578013420105
55,0.1,4,5,0.07133766684243424,0.580629223920056,51.014615058898926
56,0.1,4,6,0.04914750335821319,0.4109388986944517,49.43718862533569
57,0.1,4,7,0.027655471622211106,0.30055966080585406,51.52922701835632
58,0.1,4,8,0.06724926139045394,0.5567160651790041,50.32938861846924
59,0.1,4,9,0.05429782671867198,0.445153889212,49.064316511154175
60,1.0,2,0,0.053645014403612294,0.4411770750031992,49.338507652282715
61,1.0,2,1,0.05663461635697312,0.47101481524300104,51.89000964164734
62,1.0,2,2,0.052315371388975,0.43567263479587914,48.372910261154175
63,1.0,2,3,0.04872079223352066,0.4052608341505341,51.96810436248779
64,1.0,2,4,0.05094049635958717,0.41952274123474936,48.364991664886475
65,1.0,2,5,0.03724037361110003,0.3103976700246345,49.446497440338135
66,1.0,2,6,0.04346501230891595,0.35876111463747984,48.75247812271118
67,1.0,2,7,0.06562437397141653,0.5453509978247565,50.184730529785156
68,1.0,2,8,0.026328524928199724,0.22386340247010883,51.91038370132446
69,1.0,2,9,0.05576952256638917,0.45646504026531254,49.65855646133423
70,1.0,3,0,0.07192857409650355,0.5836356695584989,48.33453559875488
71,1.0,3,1,0.050535556019433985,0.41922473850346503,49.10502076148987
72,1.0,3,2,0.04706580429853955,0.39190964193354216,48.9900004863739
73,1.0,3,3,0.05650283653442053,0.46345085378096346,51.81639051437378
74,1.0,3,4,0.04481366003849814,0.3751057961941622,52.03849768638611
75,1.0,3,5,0.04843752323901046,0.40036377336987133,48.48882794380188
76,1.0,3,6,0.058967637812841533,0.4845606758951141,50.3786563873291
77,1.0,3,7,0.09325267898382772,0.7562948668168809,51.412513256073
78,1.0,3,8,0.056003777021730636,0.46215322768299055,53.35949993133545
79,1.0,3,9,0.06066776052616004,0.4971720084564376,53.19893956184387
80,1.0,4,0,0.05219233122921547,0.4291203400206614,52.917206048965454
81,1.0,4,1,0.06154555199765745,0.49664605114355753,53.44304347038269
82,1.0,4,2,0.04719128364701428,0.3919811918984799,53.248063802719116
83,1.0,4,3,0.048057861264123924,0.39372003406964734,52.89305520057678
84,1.0,4,4,0.0457766216780591,0.37911955889887883,53.272268533706665
85,1.0,4,5,0.06447139871639933,0.5320177507413972,52.67191934585571
86,1.0,4,6,0.059802344886347406,0.4891924480943598,51.88287711143494
87,1.0,4,7,0.0357506517137796,0.30009244141811403,51.05133056640625
88,1.0,4,8,0.06139622526629444,0.5030549173315336,53.46278786659241
89,1.0,4,9,0.07998922467152443,0.6471443594592389,53.469000816345215
