Metric,Asset,BS,JD,SV,QLBS,RLOP
avg_cost,XOP (τ=14d),0.904332,0.946174,1.442079,0.766062,1.266695
avg_cost,XOP (τ=28d),0.901805,0.970402,1.313852,0.768446,0.840464
avg_cost,XOP (τ=56d),0.899372,0.930906,0.999895,0.79437,0.6342
