Metric,Asset,BS,JD,SV,QLBS,RLOP
RMSE_hedge,XOP (τ=14d),1.3452,1.5013,2.4577,1.3779,4.0253
RMSE_hedge,XOP (τ=28d),1.5558,1.8997,2.6293,1.6975,2.2776
RMSE_hedge,XOP (τ=56d),1.9925,2.1063,2.0314,2.3255,3.8136
