Metric,Asset,BS,JD,SV,QLBS,RLOP
shortfall_prob,XOP (τ=14d),0.958,0.956,0.942,0.78,1.0
shortfall_prob,XOP (τ=28d),0.921,0.924,0.922,0.744,0.986
shortfall_prob,XOP (τ=56d),0.954,0.868,0.85,0.813,0.61
