bucket,BS_IVRMSE_x1000_Whole,BS_IVRMSE_x1000_<1,BS_IVRMSE_x1000_>1,BS_IVRMSE_x1000_>1.03,JD_IVRMSE_x1000_Whole,JD_IVRMSE_x1000_<1,JD_IVRMSE_x1000_>1,JD_IVRMSE_x1000_>1.03,Heston_IVRMSE_x1000_Whole,Heston_IVRMSE_x1000_<1,Heston_IVRMSE_x1000_>1,Heston_IVRMSE_x1000_>1.03,QLBS_IVRMSE_x1000_Whole,QLBS_IVRMSE_x1000_<1,QLBS_IVRMSE_x1000_>1,QLBS_IVRMSE_x1000_>1.03,RLOP_IVRMSE_x1000_Whole,RLOP_IVRMSE_x1000_<1,RLOP_IVRMSE_x1000_>1,RLOP_IVRMSE_x1000_>1.03,days_used,N_total
14d,187.67822645777335,234.26517260172488,77.93670565106149,83.05780316776054,163.91630099173156,204.36482722789125,56.86113259261354,60.51983965735738,188.64606619063738,235.35266201976785,74.69580442852282,77.83928162059173,169.02501433216594,210.20267351070856,61.79538215786057,65.79761534488604,518.9392347317013,547.4420399492277,464.3865829135503,460.79299847306197,34,313
28d,120.17969914971563,140.93788823199972,76.38107616063256,81.37911230306658,91.62725999913758,98.03184136315221,53.47110275581491,56.34753742081479,88.33761025066275,102.22831251783076,45.75987551615937,49.14722926209646,109.92093554313257,124.8355785867615,66.04820493765573,69.93449653857378,188.0662838204427,195.2174499699873,164.7210862994667,166.67206604973134,34,318
56d,59.443392552736,63.6973022541341,52.53676666712032,54.44712130209361,33.42635520584469,27.69324194887074,32.66471263376328,33.249683300662,31.79615413081506,30.55287034344758,18.94905365087556,19.599348211923328,101.48011579830484,121.32097781990636,68.1922685425129,68.05671746197392,122.3128964207537,152.33267351470198,66.37134884678906,63.679799062549534,32,222
