Metric,Asset,BS,JD,SV,QLBS,RLOP
avg_cost,XOP (τ=14d),0.133402,0.135018,0.153113,0.108272,0.191111
avg_cost,XOP (τ=28d),0.134192,0.136274,0.151883,0.10952,0.135196
avg_cost,XOP (τ=56d),0.135537,0.156593,0.228672,0.113255,0.110526
