Moneyness,Asset,BS,JD,SV,QLBS,RLOP
Whole sample,SPY (τ=14d),172.01,152.73,116.13,117.83,129.86
Whole sample,SPY (τ=28d),129.57,102.73,81.47,94.28,76.71
Whole sample,SPY (τ=56d),93.86,67.68,47.09,79.41,385.27
Moneyness <1,SPY (τ=14d),226.12,192.69,130.81,135.3,120.18
Moneyness <1,SPY (τ=28d),171.69,126.71,92.5,110.09,81.23
Moneyness <1,SPY (τ=56d),127.26,84.47,44.95,92.9,539.27
Moneyness >1,SPY (τ=14d),73.19,86.81,94.85,92.53,138.89
Moneyness >1,SPY (τ=28d),44.62,60.6,63.59,69.72,68.85
Moneyness >1,SPY (τ=56d),39.62,45.5,49.06,63.2,97.99
Moneyness >1.03,SPY (τ=14d),79.51,96.62,106.22,100.53,147.6
Moneyness >1.03,SPY (τ=28d),47.04,66.85,70.36,72.52,69.46
Moneyness >1.03,SPY (τ=56d),42.64,49.61,53.17,63.48,85.6
