Metric,Asset,BS,JD,SV,QLBS,RLOP
RMSE_hedge,SPY (τ=14d),11.4687,11.4687,16.9422,11.6017,12.3293
RMSE_hedge,SPY (τ=28d),8.7281,10.3562,15.2217,10.1307,4.6246
RMSE_hedge,SPY (τ=56d),10.6329,13.0716,15.9305,14.2961,16.2103
