bucket,BS_IVRMSE_x1000_Whole,BS_IVRMSE_x1000_<1,BS_IVRMSE_x1000_>1,BS_IVRMSE_x1000_>1.03,JD_IVRMSE_x1000_Whole,JD_IVRMSE_x1000_<1,JD_IVRMSE_x1000_>1,JD_IVRMSE_x1000_>1.03,Heston_IVRMSE_x1000_Whole,Heston_IVRMSE_x1000_<1,Heston_IVRMSE_x1000_>1,Heston_IVRMSE_x1000_>1.03,QLBS_IVRMSE_x1000_Whole,QLBS_IVRMSE_x1000_<1,QLBS_IVRMSE_x1000_>1,QLBS_IVRMSE_x1000_>1.03,RLOP_IVRMSE_x1000_Whole,RLOP_IVRMSE_x1000_<1,RLOP_IVRMSE_x1000_>1,RLOP_IVRMSE_x1000_>1.03,days_used,N_total
14d,164.35113774735873,216.13661931285125,65.45385452682326,70.27125644189138,135.94901527932092,167.2301972873322,76.93323187411929,85.54312415805333,108.14106458391836,115.7352944376387,91.02140822875712,102.24470941616016,112.69899566117275,126.79782851142448,87.50691042024988,94.99784666120597,120.33278247086812,103.15294106490684,131.7736982799018,141.9401035145997,62,1187
28d,127.95222468401288,169.37055835919028,39.6513184262256,40.439546905015334,94.89503938073524,114.2308737499492,53.588051821905296,59.405023116427195,74.01640621885552,75.53228932109764,59.29425429350896,65.79453969564342,92.5384725954896,107.60595914182778,65.22278504173727,67.61336117727029,73.43154986856128,75.4628414864902,63.60833854543735,61.19190644458599,62,1244
56d,92.68750935211357,124.76108745707147,38.0308009273837,40.75220215819453,60.611646525220124,72.58535011495982,41.84876850099423,45.594974126170875,43.58518883935578,34.468919330331666,46.111423997431004,49.96887836754243,78.24984097812417,91.25315524661636,62.133608597352044,61.9129162791218,367.032383234243,511.9461878211475,97.15877734340897,84.93911873745851,62,1343
