Metric,Asset,BS,JD,SV,QLBS,RLOP
avg_cost,SPY (τ=14d),5.072255,5.072255,8.337533,4.982585,5.064826
avg_cost,SPY (τ=28d),4.546536,4.981541,7.925579,4.603023,3.177185
avg_cost,SPY (τ=56d),4.452814,4.94979,6.953659,4.845772,3.36265
